temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
3281,3.14157968,-1.2973589793130458E-5,-4.129638944293929E-6,-4.88693983797634,800000000,8
3407,3.141588155,-4.498589793122676E-6,-1.4319476555075934E-6,-5.346923606457772,800000000,8
3262,3.141601135,8.48141020703963E-6,2.6997094292301464E-6,-5.0715319314441,800000000,8
3336,3.141475505,-1.1714858979328113E-4,-3.729094484640304E-5,-3.931262934968705,800000000,8
3267,3.14157024,-2.241358979304664E-5,-7.134518116980456E-6,-4.649488580660091,800000000,8
32013,3.141608398,1.5744410206686155E-5,5.011576304898251E-6,-4.802873603606621,8000000000,8
32240,3.141605269,1.2615410206695543E-5,4.01559366199788E-6,-4.899098623259139,8000000000,8
31820,3.141625983,3.332941020683933E-5,1.0608968218111191E-5,-4.477172371493429,8000000000,8
32423,3.1415915635,-1.0900897930987696E-6,-3.469864783709557E-7,-5.962537726792271,8000000000,8
32237,3.141580088,-1.2565589793123166E-5,-3.999767454956942E-6,-4.900817122042561,8000000000,8
