temps_ns,pi_valeur,difference,error_percent,ntotal,n_workers


9457300,3.13508,-0.006512653589793249,-0.20730420229215452,100000,1
10650500,1.57406,-1.567532653589793,-49.89611405535424,200000,2
9256900,1.0466,-2.0949926535897934,-66.68568731200448,300000,3
9284700,0.78465,-2.356942653589793,-75.02381478058886,400000,4
9574900,0.631232,-2.5103606535897933,-79.90726139244335,500000,5
9717900,0.5231533333333334,-2.61843932025646,-83.3475122009996,600000,6
10019500,0.44811999999999996,-2.6934726535897933,-85.73589738033198,700000,7
9728400,0.39239,-2.7492026535897933,-87.50983837603424,800000,8
10037900,0.34859555555555555,-2.7929970980342373,-88.90385883869357,900000,9
9296900,0.31545999999999996,-2.8261326535897933,-89.95859633044614,1000000,10
