temps_ms,pi_valeur,erreur_avant,error_avant_relative,log10Error,ntotal,n_workers
588,3.1419415,3.4884641020704876E-4,1.110289323359613E-4,-3.4573657417554737,1   6000000,1
524,3.14141825,-1.7440358979303738E-4,-5.5517468835306275E-5,-3.7584445801186908,16000000,1
608,3.14141825,-1.7440358979303738E-4,-5.5517468835306275E-5,-3.7584445801186908,16000000,1
529,3.141222,-3.706535897931573E-4,-1.1799662354114333E-4,-3.4310317893644173,16000000,1
573,3.141222,-3.706535897931573E-4,-1.1799662354114333E-4,-3.4310317893644173,16000000,1
560,3.141638875,4.622141020682591E-5,1.4712515360896122E-5,-4.335156808409052,32000000,2
607,6.28327775,3.1416850964102068,0.5000073562576804,0.49716265182260705,16000000,1
527,3.14163825,4.5596410207071614E-5,1.4513577496413411E-5,-4.34106934787568,32000000,2
591,6.2832765,3.1416838464102073,0.5000072567887482,0.4971624790273735,16000000,1
547,3.14107175,-5.209035897930647E-4,-1.6583625948470127E-4,-3.2832426496282605,32000000,2
605,6.2821435,3.140550846410207,0.49991708187025763,0.497005829148026,16000000,1
540,3.141419125,-1.735285897930261E-4,-5.523891683604177E-5,-3.760628962564984,32000000,2
604,6.28283825,3.141245596410207,0.499972380541582,0.4971018927805486,16000000,1
547,3.141079875,-5.127785897931503E-4,-1.6324914048648645E-4,-3.2900701163457264,32000000,2
594,6.28215975,3.140567096410207,0.49991837542975676,0.4970080762910967,16000000,1
549,3.141364375,-2.2827858979290738E-4,-7.266861227867186E-5,-3.641534818999592,32000000,2
604,6.28272875,3.1411360964102073,0.49996366569386064,0.49708675353938236,16000000,1
535,3.141618625,2.5971410206881984E-5,8.266888284978253E-6,-4.585504468220544,32000000,2
595,6.28323725,3.141644596410207,0.5000041334441425,0.4971570532220633,16000000,1
